feature,importance
Destination Port,0.06369999999999998
Init_Win_bytes_forward,0.045200000000000004
Bwd Packet Length Std,0.023899999999999977
min_seg_size_forward,0.01034999999999998
Average Packet Size,0.007049999999999978
Fwd IAT Min,0.006249999999999978
Bwd Header Length,0.003049999999999975
Init_Win_bytes_backward,0.0006999999999999784
Flow IAT Min,0.0006999999999999674
Fwd Packet Length Std,0.0005499999999999839
Max Packet Length,0.0004999999999999672
Fwd IAT Mean,0.00039999999999995595
Flow Duration,0.00024999999999996135
Bwd Packet Length Min,0.0
Bwd Avg Bytes/Bulk,0.0
PSH Flag Count,0.0
ACK Flag Count,0.0
CWE Flag Count,0.0
ECE Flag Count,0.0
Down/Up Ratio,0.0
Total Length of Bwd Packets,0.0
Avg Fwd Segment Size,0.0
Avg Bwd Segment Size,0.0
Fwd Header Length.1,0.0
Fwd Avg Bytes/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Packet Length Mean,0.0
Bwd Avg Bulk Rate,0.0
Subflow Fwd Packets,0.0
Subflow Fwd Bytes,0.0
Subflow Bwd Packets,0.0
Subflow Bwd Bytes,0.0
Total Length of Fwd Packets,0.0
act_data_pkt_fwd,0.0
Total Fwd Packets,0.0
Active Mean,0.0
Active Std,0.0
Active Max,0.0
Idle Std,0.0
Idle Max,0.0
RST Flag Count,0.0
SYN Flag Count,0.0
FIN Flag Count,0.0
Fwd PSH Flags,0.0
Bwd Packet Length Max,0.0
Flow Bytes/s,0.0
Flow IAT Std,0.0
Fwd Packet Length Mean,0.0
Fwd IAT Total,0.0
Fwd IAT Max,0.0
Fwd Packet Length Min,0.0
Bwd IAT Total,0.0
Packet Length Variance,0.0
Bwd IAT Max,0.0
Bwd IAT Mean,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Packet Length Mean,0.0
Bwd URG Flags,0.0
Fwd Packet Length Max,0.0
Bwd Packets/s,0.0
Min Packet Length,0.0
Fwd Packets/s,-5.000000000000559e-05
Flow IAT Max,-5.000000000000559e-05
URG Flag Count,-0.00010000000000001119
Active Min,-0.00010000000000001119
Flow Packets/s,-0.00010000000000001119
Idle Mean,-0.0001500000000000168
Total Backward Packets,-0.0001500000000000168
Flow IAT Mean,-0.00030000000000001136
Bwd IAT Min,-0.0003000000000000336
Bwd IAT Std,-0.0003000000000000336
Fwd IAT Std,-0.0003500000000000392
Fwd Header Length,-0.0003500000000000392
Idle Min,-0.0003500000000000392
Packet Length Std,-0.00040000000000004474
